symptoms,predicted_condition,followup_questions
"neglecting_responsibilites, inability_to_control, strong_carvings, giving_up_important_activites",Substance Use Disorder,"['Is neglecting responsibilites interfering with your relationships or work?', 'How long have you experienced strong carvings?', 'Have you talked to anyone about your giving up important activites?', 'Is inability to control interfering with your relationships or work?']"
"inability_to_control, strong_carvings, giving_up_important_activites, neglecting_responsibilites, using_more_of_the_substance, continued_use_despite_social_problems",Substance Use Disorder,"['Is there a specific event that triggered your using more of the substance?', 'How do you usually cope with inability to control?', 'Do you notice giving up important activites getting worse over time?', 'Does anything help relieve your strong carvings?', 'Have you had professional help for neglecting responsibilites before?']"
"inability_to_control, giving_up_important_activites, using_more_of_the_substance, strong_carvings, continued_use_despite_social_problems, neglecting_responsibilites",Substance Use Disorder,"['Does anything help relieve your using more of the substance?', 'Does inability to control affect your daily functioning?', 'Is there a specific event that triggered your giving up important activites?', 'Have you talked to anyone about your continued use despite social problems?', 'Have you had professional help for strong carvings before?']"
"low_mood, physical_aches_and_pains, feeling_of_worthless, changes_in_weight, thoughts_of_death, sleep_disturbance",Depression,"['Have you had professional help for thoughts of death before?', 'Is feeling of worthless interfering with your relationships or work?', 'Is there a specific event that triggered your sleep disturbance?', 'Does low mood affect your daily functioning?', 'Is there a specific event that triggered your changes in weight?']"
"loss_of_interest, sleep_disturbance, low_mood, feeling_of_worthless, changes_in_weight, thoughts_of_death",Depression,"['Do you notice loss of interest getting worse over time?', 'How long have you experienced sleep disturbance?', 'On a scale of 1 to 10, how severe is your low mood?', 'Have you talked to anyone about your feeling of worthless?', 'Have you talked to anyone about your changes in weight?']"
"low_mood, thoughts_of_death, physical_aches_and_pains, changes_in_weight, loss_of_interest, feeling_of_worthless",Depression,"['Is there a specific event that triggered your low mood?', 'Do you notice changes in weight getting worse over time?', 'On a scale of 1 to 10, how severe is your physical aches and pains?', 'Is there a specific event that triggered your feeling of worthless?', 'Is there a specific event that triggered your thoughts of death?']"
"physical_aches_and_pains, thoughts_of_death, low_mood, loss_of_interest, sleep_disturbance, changes_in_weight",Depression,"['How do you usually cope with physical aches and pains?', 'Do you notice thoughts of death getting worse over time?', 'Do you notice changes in weight getting worse over time?', 'Does sleep disturbance affect your daily functioning?', 'Have you had professional help for loss of interest before?']"
"feeling_of_worthless, thoughts_of_death, sleep_disturbance, low_mood",Depression,"['Is feeling of worthless interfering with your relationships or work?', 'Have you talked to anyone about your thoughts of death?', 'Is there a specific event that triggered your sleep disturbance?', 'How long have you experienced low mood?']"
"tension_headaches, difficulty_falling_asleep, memory_problems, impaired_daytime_functioning",Insomnia,"['Is memory problems interfering with your relationships or work?', 'Is impaired daytime functioning interfering with your relationships or work?', 'Have you talked to anyone about your tension headaches?', 'Does difficulty falling asleep affect your daily functioning?']"
"difficulty_falling_asleep, daytime_fatigue, sleep_dissatisfaction_despite_adequate_opportunity, impaired_daytime_functioning, tension_headaches, memory_problems",Insomnia,"['Does anything help relieve your memory problems?', 'Do you notice difficulty falling asleep getting worse over time?', 'Is there a specific event that triggered your tension headaches?', 'How long have you experienced impaired daytime functioning?', 'How do you usually cope with sleep dissatisfaction despite adequate opportunity?']"
"difficulty_falling_asleep, impaired_daytime_functioning, memory_problems, daytime_fatigue",Insomnia,"['On a scale of 1 to 10, how severe is your difficulty falling asleep?', 'How long have you experienced impaired daytime functioning?', 'Have you had professional help for memory problems before?', 'Do you notice daytime fatigue getting worse over time?']"
"impaired_daytime_functioning, sleep_dissatisfaction_despite_adequate_opportunity, daytime_fatigue, difficulty_falling_asleep, memory_problems",Insomnia,"['Have you had professional help for daytime fatigue before?', 'How do you usually cope with difficulty falling asleep?', 'Have you talked to anyone about your memory problems?', 'Is sleep dissatisfaction despite adequate opportunity interfering with your relationships or work?', 'How do you usually cope with impaired daytime functioning?']"
"daytime_fatigue, memory_problems, tension_headaches, sleep_dissatisfaction_despite_adequate_opportunity, difficulty_falling_asleep",Insomnia,"['Have you talked to anyone about your daytime fatigue?', 'On a scale of 1 to 10, how severe is your difficulty falling asleep?', 'Is tension headaches interfering with your relationships or work?', 'Does anything help relieve your sleep dissatisfaction despite adequate opportunity?', 'Have you had professional help for memory problems before?']"
"abnormal_behavior, flact_affect, hallucination, neglect_of_personal_hygiene, social_withdrawal, unpredictable_behavior",Schizophrenia,"['Does hallucination affect your daily functioning?', 'On a scale of 1 to 10, how severe is your abnormal behavior?', 'How long have you experienced flact affect?', 'On a scale of 1 to 10, how severe is your unpredictable behavior?', 'Is there a specific event that triggered your neglect of personal hygiene?']"
"abnormal_behavior, unpredictable_behavior, flact_affect, hallucination",Schizophrenia,"['Does anything help relieve your abnormal behavior?', 'Do you notice hallucination getting worse over time?', 'Does anything help relieve your flact affect?', 'Does unpredictable behavior affect your daily functioning?']"
"abnormal_behavior, hallucination, social_withdrawal, neglect_of_personal_hygiene, delusion",Schizophrenia,"['Do you notice hallucination getting worse over time?', 'Does neglect of personal hygiene affect your daily functioning?', 'Is there a specific event that triggered your abnormal behavior?', 'On a scale of 1 to 10, how severe is your social withdrawal?', 'Do you notice delusion getting worse over time?']"
"unpredictable_behavior, social_withdrawal, delusion, abnormal_behavior",Schizophrenia,"['Have you talked to anyone about your delusion?', 'Is social withdrawal interfering with your relationships or work?', 'Does anything help relieve your unpredictable behavior?', 'Have you talked to anyone about your abnormal behavior?']"
"flact_affect, hallucination, delusion, abnormal_behavior, social_withdrawal, unpredictable_behavior",Schizophrenia,"['How do you usually cope with delusion?', 'How long have you experienced hallucination?', 'Is there a specific event that triggered your abnormal behavior?', 'Is unpredictable behavior interfering with your relationships or work?', 'Is there a specific event that triggered your flact affect?']"
"intense_fear_of_abandonment, intense_anger, identity_disturbance, unstable_interpersonal_relationships, extreme_sensitivity_to_criticism, difficulty_controlling_anger",Borderline Personality Disorder,"['On a scale of 1 to 10, how severe is your difficulty controlling anger?', 'Do you notice intense fear of abandonment getting worse over time?', 'Is there a specific event that triggered your intense anger?', 'Does identity disturbance affect your daily functioning?', 'How do you usually cope with unstable interpersonal relationships?']"
"identity_disturbance, difficulty_controlling_anger, impulsive_behaviors, unstable_interpersonal_relationships, intense_fear_of_abandonment, extreme_sensitivity_to_criticism",Borderline Personality Disorder,"['Have you talked to anyone about your impulsive behaviors?', 'Does identity disturbance affect your daily functioning?', 'Have you talked to anyone about your unstable interpersonal relationships?', 'How do you usually cope with intense fear of abandonment?', 'How do you usually cope with difficulty controlling anger?']"
"impulsive_behaviors, extreme_sensitivity_to_criticism, unstable_interpersonal_relationships, difficulty_controlling_anger, identity_disturbance, intense_anger",Borderline Personality Disorder,"['Have you had professional help for identity disturbance before?', 'How long have you experienced impulsive behaviors?', 'Have you talked to anyone about your unstable interpersonal relationships?', 'Is there a specific event that triggered your difficulty controlling anger?', 'How long have you experienced extreme sensitivity to criticism?']"
"intense_anger, identity_disturbance, intense_fear_of_abandonment, unstable_interpersonal_relationships, extreme_sensitivity_to_criticism",Borderline Personality Disorder,"['How do you usually cope with intense fear of abandonment?', 'On a scale of 1 to 10, how severe is your identity disturbance?', 'Is there a specific event that triggered your extreme sensitivity to criticism?', 'Have you had professional help for intense anger before?', 'Have you had professional help for unstable interpersonal relationships before?']"
"identity_disturbance, extreme_sensitivity_to_criticism, impulsive_behaviors, difficulty_controlling_anger, intense_anger, unstable_interpersonal_relationships",Borderline Personality Disorder,"['Is there a specific event that triggered your difficulty controlling anger?', 'Is there a specific event that triggered your unstable interpersonal relationships?', 'Does identity disturbance affect your daily functioning?', 'Does anything help relieve your impulsive behaviors?', 'Have you had professional help for extreme sensitivity to criticism before?']"
"vomiting, eating_large_amounts_of_food, extreme_restriction_of_food_intake, significant_weight_loss, fear_of_gaining_weight, change_body_image",Eating Disorder,"['Have you had professional help for change body image before?', 'Does anything help relieve your significant weight loss?', 'Have you had professional help for extreme restriction of food intake before?', 'Is there a specific event that triggered your vomiting?', 'Have you had professional help for eating large amounts of food before?']"
"eating_large_amounts_of_food, fear_of_gaining_weight, significant_weight_loss, vomiting, extreme_restriction_of_food_intake, change_body_image",Eating Disorder,"['On a scale of 1 to 10, how severe is your extreme restriction of food intake?', 'Do you notice change body image getting worse over time?', 'Does anything help relieve your vomiting?', 'Do you notice significant weight loss getting worse over time?', 'On a scale of 1 to 10, how severe is your eating large amounts of food?']"
"eating_large_amounts_of_food, change_body_image, extreme_restriction_of_food_intake, fear_of_gaining_weight",Eating Disorder,"['Do you notice eating large amounts of food getting worse over time?', 'Have you talked to anyone about your change body image?', 'Do you notice fear of gaining weight getting worse over time?', 'Have you talked to anyone about your extreme restriction of food intake?']"
"vomiting, extreme_restriction_of_food_intake, significant_weight_loss, eating_large_amounts_of_food, change_body_image",Eating Disorder,"['Do you notice significant weight loss getting worse over time?', 'Have you had professional help for eating large amounts of food before?', 'How long have you experienced change body image?', 'Is there a specific event that triggered your vomiting?', 'Have you talked to anyone about your extreme restriction of food intake?']"
"extreme_restriction_of_food_intake, vomiting, change_body_image, significant_weight_loss",Eating Disorder,"['Is vomiting interfering with your relationships or work?', 'Have you talked to anyone about your extreme restriction of food intake?', 'Have you had professional help for change body image before?', 'Do you notice significant weight loss getting worse over time?']"
"significant_distress_in_daily_life, difficulty_making_eye_contact, excessive_fear_of_embarrassment, rapid_heartbeat_during_social_interactions",Social Anxiety Disorder,"['How long have you experienced difficulty making eye contact?', 'Have you had professional help for rapid heartbeat during social interactions before?', 'Does excessive fear of embarrassment affect your daily functioning?', 'Do you notice significant distress in daily life getting worse over time?']"
"avoidance_of_social_activity, significant_distress_in_daily_life, excessive_fear_of_embarrassment, rapid_heartbeat_during_social_interactions",Social Anxiety Disorder,"['On a scale of 1 to 10, how severe is your rapid heartbeat during social interactions?', 'How long have you experienced avoidance of social activity?', 'Does anything help relieve your excessive fear of embarrassment?', 'Have you had professional help for significant distress in daily life before?']"
"avoid_eating_in_public, significant_distress_in_daily_life, avoidance_of_social_activity, difficulty_making_eye_contact, excessive_fear_of_embarrassment",Social Anxiety Disorder,"['How long have you experienced difficulty making eye contact?', 'Does anything help relieve your significant distress in daily life?', 'Does anything help relieve your avoid eating in public?', 'How do you usually cope with excessive fear of embarrassment?', 'Have you talked to anyone about your avoidance of social activity?']"
"excessive_fear_of_embarrassment, avoid_eating_in_public, significant_distress_in_daily_life, difficulty_making_eye_contact, rapid_heartbeat_during_social_interactions, avoidance_of_social_activity",Social Anxiety Disorder,"['Do you notice avoidance of social activity getting worse over time?', 'On a scale of 1 to 10, how severe is your difficulty making eye contact?', 'How do you usually cope with excessive fear of embarrassment?', 'Is there a specific event that triggered your rapid heartbeat during social interactions?', 'Have you had professional help for avoid eating in public before?']"
"rapid_heartbeat_during_social_interactions, difficulty_making_eye_contact, excessive_fear_of_embarrassment, avoidance_of_social_activity, avoid_eating_in_public, significant_distress_in_daily_life",Social Anxiety Disorder,"['Is there a specific event that triggered your significant distress in daily life?', 'How long have you experienced difficulty making eye contact?', 'Does anything help relieve your excessive fear of embarrassment?', 'How long have you experienced avoidance of social activity?', 'How do you usually cope with avoid eating in public?']"
"frequently_losing_items, difficulty_being_patient, easily_distracted, inability_to_stay_seated, fidgeting",ADHD (Attention Deficit Hyperactivity Disorder),"['How long have you experienced fidgeting?', 'On a scale of 1 to 10, how severe is your difficulty being patient?', 'Is inability to stay seated interfering with your relationships or work?', 'Is there a specific event that triggered your frequently losing items?', 'How do you usually cope with easily distracted?']"
"forgetfulness_in_daily_activities, fidgeting, inability_to_stay_seated, poor_organizational_skill, easily_distracted",ADHD (Attention Deficit Hyperactivity Disorder),"['Is there a specific event that triggered your fidgeting?', 'Have you talked to anyone about your inability to stay seated?', 'Does forgetfulness in daily activities affect your daily functioning?', 'Is there a specific event that triggered your poor organizational skill?', 'On a scale of 1 to 10, how severe is your easily distracted?']"
"poor_organizational_skill, fidgeting, forgetfulness_in_daily_activities, inability_to_stay_seated",ADHD (Attention Deficit Hyperactivity Disorder),"['How long have you experienced inability to stay seated?', 'Does forgetfulness in daily activities affect your daily functioning?', 'Is there a specific event that triggered your fidgeting?', 'Does anything help relieve your poor organizational skill?']"
"inability_to_stay_seated, fidgeting, frequently_losing_items, poor_organizational_skill, difficulty_being_patient, forgetfulness_in_daily_activities",ADHD (Attention Deficit Hyperactivity Disorder),"['Is there a specific event that triggered your difficulty being patient?', 'How do you usually cope with inability to stay seated?', 'On a scale of 1 to 10, how severe is your forgetfulness in daily activities?', 'Have you had professional help for frequently losing items before?', 'Have you talked to anyone about your poor organizational skill?']"
"forgetfulness_in_daily_activities, easily_distracted, poor_organizational_skill, inability_to_stay_seated, difficulty_being_patient",ADHD (Attention Deficit Hyperactivity Disorder),"['How do you usually cope with poor organizational skill?', 'Have you had professional help for forgetfulness in daily activities before?', 'Is there a specific event that triggered your easily distracted?', 'Do you notice difficulty being patient getting worse over time?', 'Is there a specific event that triggered your inability to stay seated?']"
"rapid_heartbeat_during_social_interactions, difficulty_making_eye_contact, low_self-esteem, avoidance_of_social_activity",Social Anxiety Disorder,"['Is there a specific event that triggered your rapid heartbeat during social interactions?', 'How do you usually cope with low self-esteem?', 'Is avoidance of social activity interfering with your relationships or work?', 'Have you talked to anyone about your difficulty making eye contact?']"
"rapid_heartbeat_during_social_interactions, significant_distress_in_daily_life, low_self-esteem, avoidance_of_social_activity, difficulty_making_eye_contact, difficulty_speaking",Social Anxiety Disorder,"['How long have you experienced difficulty speaking?', 'How long have you experienced difficulty making eye contact?', 'Have you had professional help for rapid heartbeat during social interactions before?', 'Is significant distress in daily life interfering with your relationships or work?', 'Is there a specific event that triggered your low self-esteem?']"
"significant_distress_in_daily_life, low_self-esteem, physical_symptoms_in_social_settings, intense_fear_of_social_situations, avoid_eating_in_public, difficulty_making_eye_contact",Social Anxiety Disorder,"['Does anything help relieve your intense fear of social situations?', 'Do you notice low self-esteem getting worse over time?', 'How long have you experienced physical symptoms in social settings?', 'Does anything help relieve your avoid eating in public?', 'Does anything help relieve your difficulty making eye contact?']"
"avoid_eating_in_public, rapid_heartbeat_during_social_interactions, low_self-esteem, avoidance_of_social_activity, significant_distress_in_daily_life, physical_symptoms_in_social_settings",Social Anxiety Disorder,"['Is physical symptoms in social settings interfering with your relationships or work?', 'Is avoid eating in public interfering with your relationships or work?', 'Does anything help relieve your significant distress in daily life?', 'How long have you experienced low self-esteem?', 'Is there a specific event that triggered your rapid heartbeat during social interactions?']"
"physical_symptoms_in_social_settings, rapid_heartbeat_during_social_interactions, difficulty_making_eye_contact, avoidance_of_social_activity, significant_distress_in_daily_life",Social Anxiety Disorder,"['How long have you experienced avoidance of social activity?', 'Is difficulty making eye contact interfering with your relationships or work?', 'Does anything help relieve your physical symptoms in social settings?', 'Have you had professional help for significant distress in daily life before?', 'On a scale of 1 to 10, how severe is your rapid heartbeat during social interactions?']"
"abnormal_behavior, inability_to_feel_pleasure, flact_affect, hallucination, unpredictable_behavior, disorganized_thinking",Schizophrenia,"['Does anything help relieve your hallucination?', 'Have you talked to anyone about your inability to feel pleasure?', 'Is there a specific event that triggered your disorganized thinking?', 'Is there a specific event that triggered your unpredictable behavior?', 'On a scale of 1 to 10, how severe is your flact affect?']"
"unpredictable_behavior, inability_to_feel_pleasure, disorganized_thinking, lack_of_motivation, social_withdrawal, flact_affect",Schizophrenia,"['Do you notice unpredictable behavior getting worse over time?', 'Is there a specific event that triggered your inability to feel pleasure?', 'Does anything help relieve your flact affect?', 'Have you had professional help for disorganized thinking before?', 'Does anything help relieve your social withdrawal?']"
"lack_of_motivation, inability_to_feel_pleasure, flact_affect, hallucination",Schizophrenia,"['Do you notice hallucination getting worse over time?', 'Do you notice inability to feel pleasure getting worse over time?', 'Does flact affect affect your daily functioning?', 'How long have you experienced lack of motivation?']"
"unpredictable_behavior, inability_to_feel_pleasure, hallucination, disorganized_thinking, flact_affect, lack_of_motivation",Schizophrenia,"['Does anything help relieve your hallucination?', 'How do you usually cope with disorganized thinking?', 'On a scale of 1 to 10, how severe is your inability to feel pleasure?', 'How long have you experienced flact affect?', 'How long have you experienced unpredictable behavior?']"
"inability_to_feel_pleasure, social_withdrawal, lack_of_motivation, unpredictable_behavior, abnormal_behavior",Schizophrenia,"['Does social withdrawal affect your daily functioning?', 'On a scale of 1 to 10, how severe is your abnormal behavior?', 'On a scale of 1 to 10, how severe is your lack of motivation?', 'Is there a specific event that triggered your unpredictable behavior?', 'Does anything help relieve your inability to feel pleasure?']"
"eating_large_amounts_of_food, change_body_image, social_isolation, significant_weight_loss, mood_changes",Eating Disorder,"['On a scale of 1 to 10, how severe is your social isolation?', 'Does anything help relieve your significant weight loss?', 'Does anything help relieve your change body image?', 'Have you talked to anyone about your mood changes?', 'How long have you experienced eating large amounts of food?']"
"vomiting, change_body_image, social_isolation, eating_large_amounts_of_food, mood_changes",Eating Disorder,"['Do you notice eating large amounts of food getting worse over time?', 'Is there a specific event that triggered your mood changes?', 'How long have you experienced vomiting?', 'Is social isolation interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your change body image?']"
"mood_changes, social_isolation, significant_weight_loss, vomiting",Eating Disorder,"['Does anything help relieve your mood changes?', 'On a scale of 1 to 10, how severe is your significant weight loss?', 'How do you usually cope with social isolation?', 'Have you had professional help for vomiting before?']"
"social_isolation, vomiting, mood_changes, eating_large_amounts_of_food, significant_weight_loss, change_body_image",Eating Disorder,"['Is there a specific event that triggered your eating large amounts of food?', 'Do you notice social isolation getting worse over time?', 'On a scale of 1 to 10, how severe is your mood changes?', 'Have you talked to anyone about your vomiting?', 'Does anything help relieve your significant weight loss?']"
"significant_weight_loss, social_isolation, mood_changes, eating_large_amounts_of_food",Eating Disorder,"['Does anything help relieve your social isolation?', 'Is mood changes interfering with your relationships or work?', 'Do you notice eating large amounts of food getting worse over time?', 'How long have you experienced significant weight loss?']"
"difficulty_in_social_interaction, difficulty_making_friends, repetitive_behaviors, difficulty_in_maintaining_eye_contact, delayed_speech, hypersensitivity_to_sensory_stimuli",Autism Spectrum Disorder,"['How do you usually cope with difficulty in maintaining eye contact?', 'Is there a specific event that triggered your difficulty in social interaction?', 'Is repetitive behaviors interfering with your relationships or work?', 'Have you talked to anyone about your difficulty making friends?', 'Is delayed speech interfering with your relationships or work?']"
"delayed_speech, difficulty_in_social_interaction, repetitive_behaviors, hypersensitivity_to_sensory_stimuli",Autism Spectrum Disorder,"['Have you talked to anyone about your repetitive behaviors?', 'Have you talked to anyone about your hypersensitivity to sensory stimuli?', 'How long have you experienced delayed speech?', 'How long have you experienced difficulty in social interaction?']"
"delayed_speech, difficulty_in_maintaining_eye_contact, difficulty_making_friends, difficulty_in_social_interaction, repetitive_behaviors, hypersensitivity_to_sensory_stimuli",Autism Spectrum Disorder,"['Is there a specific event that triggered your delayed speech?', 'Do you notice repetitive behaviors getting worse over time?', 'Have you had professional help for difficulty in social interaction before?', 'Is difficulty making friends interfering with your relationships or work?', 'How long have you experienced hypersensitivity to sensory stimuli?']"
"difficulty_making_friends, delayed_speech, repetitive_behaviors, difficulty_in_maintaining_eye_contact",Autism Spectrum Disorder,"['On a scale of 1 to 10, how severe is your delayed speech?', 'Do you notice difficulty in maintaining eye contact getting worse over time?', 'How do you usually cope with repetitive behaviors?', 'On a scale of 1 to 10, how severe is your difficulty making friends?']"
"hypersensitivity_to_sensory_stimuli, difficulty_making_friends, repetitive_behaviors, difficulty_in_social_interaction, difficulty_in_maintaining_eye_contact",Autism Spectrum Disorder,"['Does difficulty in maintaining eye contact affect your daily functioning?', 'Have you had professional help for hypersensitivity to sensory stimuli before?', 'Is there a specific event that triggered your difficulty in social interaction?', 'Does anything help relieve your difficulty making friends?', 'How do you usually cope with repetitive behaviors?']"
"avoidance_of_situations_that_trigger_obsession, time_consuming_rituals, excessive_fear_of_mistakes, repetitve_behaviors, depressive_symptoms",Obsessive-Compulsive Disorder (OCD),"['How do you usually cope with excessive fear of mistakes?', 'Have you talked to anyone about your avoidance of situations that trigger obsession?', 'Have you had professional help for repetitve behaviors before?', 'Do you notice depressive symptoms getting worse over time?', 'Does anything help relieve your time consuming rituals?']"
"avoidance_of_situations_that_trigger_obsession, depressive_symptoms, difficulty_concentrating, excessive_fear_of_mistakes, time_consuming_rituals",Obsessive-Compulsive Disorder (OCD),"['Is time consuming rituals interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your depressive symptoms?', 'On a scale of 1 to 10, how severe is your avoidance of situations that trigger obsession?', 'Have you had professional help for excessive fear of mistakes before?', 'How do you usually cope with difficulty concentrating?']"
"time_consuming_rituals, difficulty_concentrating, excessive_fear_of_mistakes, depressive_symptoms, avoidance_of_situations_that_trigger_obsession",Obsessive-Compulsive Disorder (OCD),"['How do you usually cope with depressive symptoms?', 'Is time consuming rituals interfering with your relationships or work?', 'How do you usually cope with avoidance of situations that trigger obsession?', 'Have you talked to anyone about your difficulty concentrating?', 'Does excessive fear of mistakes affect your daily functioning?']"
"excessive_fear_of_mistakes, difficulty_concentrating, time_consuming_rituals, repetitve_behaviors, depressive_symptoms",Obsessive-Compulsive Disorder (OCD),"['On a scale of 1 to 10, how severe is your time consuming rituals?', 'Is there a specific event that triggered your excessive fear of mistakes?', 'Does anything help relieve your repetitve behaviors?', 'How long have you experienced depressive symptoms?', 'How do you usually cope with difficulty concentrating?']"
"difficulty_concentrating, avoidance_of_situations_that_trigger_obsession, depressive_symptoms, time_consuming_rituals",Obsessive-Compulsive Disorder (OCD),"['Do you notice difficulty concentrating getting worse over time?', 'Is avoidance of situations that trigger obsession interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your time consuming rituals?', 'Is there a specific event that triggered your depressive symptoms?']"
"nightmares, difficulty_concentrating, sleep_disturbance, flashbacks",Post-Traumatic Stress Disorder (PTSD),"['Does anything help relieve your flashbacks?', 'Is there a specific event that triggered your sleep disturbance?', 'Does difficulty concentrating affect your daily functioning?', 'How long have you experienced nightmares?']"
"flashbacks, sleep_disturbance, negative_changes, nightmares, feeling_of_detachment, difficulty_concentrating",Post-Traumatic Stress Disorder (PTSD),"['Does nightmares affect your daily functioning?', 'How long have you experienced negative changes?', 'On a scale of 1 to 10, how severe is your sleep disturbance?', 'Does difficulty concentrating affect your daily functioning?', 'How do you usually cope with flashbacks?']"
"nightmares, sleep_disturbance, feeling_of_detachment, negative_changes",Post-Traumatic Stress Disorder (PTSD),"['How do you usually cope with nightmares?', 'How long have you experienced feeling of detachment?', 'Does negative changes affect your daily functioning?', 'On a scale of 1 to 10, how severe is your sleep disturbance?']"
"difficulty_concentrating, nightmares, negative_changes, feeling_of_detachment",Post-Traumatic Stress Disorder (PTSD),"['Do you notice negative changes getting worse over time?', 'Is there a specific event that triggered your difficulty concentrating?', 'Does nightmares affect your daily functioning?', 'On a scale of 1 to 10, how severe is your feeling of detachment?']"
"negative_changes, nightmares, flashbacks, difficulty_concentrating",Post-Traumatic Stress Disorder (PTSD),"['On a scale of 1 to 10, how severe is your flashbacks?', 'How do you usually cope with nightmares?', 'Is difficulty concentrating interfering with your relationships or work?', 'Have you had professional help for negative changes before?']"
"difficulty_speaking, rapid_heartbeat_during_social_interactions, significant_distress_in_daily_life, excessive_fear_of_embarrassment",Social Anxiety Disorder,"['Have you talked to anyone about your significant distress in daily life?', 'How long have you experienced excessive fear of embarrassment?', 'Do you notice rapid heartbeat during social interactions getting worse over time?', 'Does difficulty speaking affect your daily functioning?']"
"difficulty_making_eye_contact, rapid_heartbeat_during_social_interactions, significant_distress_in_daily_life, intense_fear_of_social_situations, avoid_eating_in_public, excessive_fear_of_embarrassment",Social Anxiety Disorder,"['Is significant distress in daily life interfering with your relationships or work?', 'Does anything help relieve your intense fear of social situations?', 'Does avoid eating in public affect your daily functioning?', 'Does difficulty making eye contact affect your daily functioning?', 'Have you talked to anyone about your excessive fear of embarrassment?']"
"intense_fear_of_social_situations, avoid_eating_in_public, significant_distress_in_daily_life, excessive_fear_of_embarrassment, difficulty_speaking",Social Anxiety Disorder,"['On a scale of 1 to 10, how severe is your difficulty speaking?', 'Have you had professional help for intense fear of social situations before?', 'Have you talked to anyone about your significant distress in daily life?', 'Is there a specific event that triggered your avoid eating in public?', 'Does anything help relieve your excessive fear of embarrassment?']"
"intense_fear_of_social_situations, difficulty_making_eye_contact, avoid_eating_in_public, difficulty_speaking, significant_distress_in_daily_life, excessive_fear_of_embarrassment",Social Anxiety Disorder,"['Does anything help relieve your avoid eating in public?', 'Have you talked to anyone about your significant distress in daily life?', 'Is there a specific event that triggered your excessive fear of embarrassment?', 'Have you talked to anyone about your difficulty making eye contact?', 'How long have you experienced difficulty speaking?']"
"avoid_eating_in_public, rapid_heartbeat_during_social_interactions, difficulty_making_eye_contact, significant_distress_in_daily_life, intense_fear_of_social_situations, difficulty_speaking",Social Anxiety Disorder,"['Do you notice difficulty making eye contact getting worse over time?', 'Is there a specific event that triggered your avoid eating in public?', 'How do you usually cope with difficulty speaking?', 'Does anything help relieve your intense fear of social situations?', 'On a scale of 1 to 10, how severe is your significant distress in daily life?']"
"repetitive_behaviors, resistance_to_change, difficulty_in_maintaining_eye_contact, difficulty_understanding_non_verbal_cues, difficulty_making_friends",Autism Spectrum Disorder,"['How do you usually cope with difficulty in maintaining eye contact?', 'Does anything help relieve your resistance to change?', 'Does anything help relieve your difficulty understanding non verbal cues?', 'Does anything help relieve your difficulty making friends?', 'Is there a specific event that triggered your repetitive behaviors?']"
"difficulty_in_maintaining_eye_contact, difficulty_understanding_non_verbal_cues, difficulty_making_friends, resistance_to_change, repetitive_behaviors",Autism Spectrum Disorder,"['On a scale of 1 to 10, how severe is your difficulty making friends?', 'Does anything help relieve your difficulty in maintaining eye contact?', 'Does anything help relieve your difficulty understanding non verbal cues?', 'How do you usually cope with repetitive behaviors?', 'Have you had professional help for resistance to change before?']"
"resistance_to_change, difficulty_understanding_non_verbal_cues, difficulty_in_social_interaction, difficulty_making_friends",Autism Spectrum Disorder,"['Is difficulty in social interaction interfering with your relationships or work?', 'Does resistance to change affect your daily functioning?', 'How long have you experienced difficulty understanding non verbal cues?', 'Is there a specific event that triggered your difficulty making friends?']"
"difficulty_in_maintaining_eye_contact, difficulty_making_friends, repetitive_behaviors, difficulty_in_social_interaction, difficulty_understanding_non_verbal_cues",Autism Spectrum Disorder,"['Have you had professional help for repetitive behaviors before?', 'How do you usually cope with difficulty in maintaining eye contact?', 'How do you usually cope with difficulty in social interaction?', 'Have you had professional help for difficulty making friends before?', 'Does anything help relieve your difficulty understanding non verbal cues?']"
"difficulty_understanding_non_verbal_cues, resistance_to_change, difficulty_in_maintaining_eye_contact, difficulty_making_friends, difficulty_in_social_interaction, repetitive_behaviors",Autism Spectrum Disorder,"['Is there a specific event that triggered your difficulty understanding non verbal cues?', 'How do you usually cope with repetitive behaviors?', 'Does anything help relieve your difficulty in maintaining eye contact?', 'On a scale of 1 to 10, how severe is your difficulty in social interaction?', 'On a scale of 1 to 10, how severe is your difficulty making friends?']"
"feelings_of_hopelessness, fatigue, difficulty_making_decisions, chronic_low_mood",Persistant Depressive Disorder,"['Have you had professional help for difficulty making decisions before?', 'Have you talked to anyone about your feelings of hopelessness?', 'Is there a specific event that triggered your fatigue?', 'Is chronic low mood interfering with your relationships or work?']"
"fatigue, difficulty_making_decisions, sleep_disturbance.1, irritability",Persistant Depressive Disorder,"['How do you usually cope with difficulty making decisions?', 'Have you had professional help for fatigue before?', 'Is sleep disturbance.1 interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your irritability?']"
"fatigue, difficulty_making_decisions, chronic_low_mood, sleep_disturbance.1",Persistant Depressive Disorder,"['How long have you experienced difficulty making decisions?', 'On a scale of 1 to 10, how severe is your fatigue?', 'Is chronic low mood interfering with your relationships or work?', 'Do you notice sleep disturbance.1 getting worse over time?']"
