Symptoms,similar_one,similar_two,similar_three,similar_four,similar_five,similar_six,similar_seven,similar_eight,similar_nine,similar_ten
waking_up_too_early,early_morning_wakening,waking_before_alarm,premature_waking,waking_up_at_dawn,early_rising_problem,can't_sleep_past_morning,waking_up_unintentionally_early,waking_up_without_reason_early,unable_to_sleep_in,too_early_to_wake_up
daytime_fatigue,tired_during_day,low_energy_during_day,sleepy_daytime,exhausted_during_day,fatigue_in_daylight_hours,can't_stay_awake_daytime,constant_daytime_tiredness,lack_of_energy_during_day,drowsiness_during_day,feeling_sleepy_all_day
mood_disturbance_due_to_poor_sleep,irritable_due_to_lack_of_sleep,low_mood_after_bad_sleep,emotional_instability_from_poor_sleep,cranky_from_sleep_deprivation,sleep_related_mood_swings,bad_sleep_affecting_mood,mood_issues_due_to_sleep_loss,depression_from_sleep_problems,anxious_due_to_insomnia,poor_sleep_causing_mood_changes
memory_problems,forgetfulness,short_term_memory_loss,difficulty_remembering,poor_memory,trouble_recalling_information,memory_loss,cognitive_decline,absent_mindedness,impaired_memory,confusion_due_to_memory_issues
sleep_dissatisfaction_despite_adequate_opportunity,poor_sleep_quality,feeling_unrested_after_sleep,nonrestorative_sleep,unrefreshing_sleep,dissatisfaction_with_sleep,inadequate_sleep_restoration,feeling_tired_after_sleep,sleep_not_feeling_restful,lack_of_sleep_satisfaction,insufficient_sleep_rejuvenation
impaired_daytime_functioning,trouble_getting_things_done,difficulty_functioning_during_day,poor_daytime_performance,low_productivity_during_day,struggling_with_daily_tasks,impaired_ability_to_work,reduced_functionality_during_day,can't_focus_during_daytime,difficulty_managing_daytime_activities,daytime_impairment
difficulty_in_social_interaction,trouble_talking_to_people,hard_to_socialize,social_anxiety,problems_with_social_skills,feeling_awkward_around_others,difficulty_making_friends,uncomfortable_in_social_settings,shy_in_groups,struggle_with_conversations,hard_to_connect_with_people
difficulty_in_maintaining_eye_contact,trouble_holding_eye_contact,avoids_eye_contact,uncomfortable_with_eye_contact,can't_look_people_in_eyes,difficulty_looking_in_eyes,shy_eye_contact,limited_eye_contact,poor_eye_contact,breaks_eye_contact_often,avoids_direct_gaze
repetitive_behaviors,repeating_actions,doing_things_over_and_over,compulsive_behaviors,ritualistic_behaviors,repetitive_movements,constant_repetition,same_behavior_repeated,obsessive_behaviors,repetitive_habits,looping_actions
intense_focus_on_specific_interests,obsession_with_certain_things,strong_interest_in_specific_topics,hyper_focus_on_hobbies,deep_interest_in_one_thing,fixated_on_specific_subjects,narrow_focus_on_interests,intense_attention_to_particular_areas,concentrating_heavily_on_one_thing,overly_focused_on_hobbies,passionate_about_specific_topics
difficulty_understanding_non_verbal_cues,trouble_reading_body_language,can't_understand_nonverbal_signals,difficulty_interpreting_facial_expressions,poor_understanding_of_body_language,struggles_with_nonverbal_communication,missing_social_cues,can't_read_people's_expressions,difficulty_with_nonverbal_communication,not_getting_nonverbal_signals,confusion_with_body_language
resistance_to_change,afraid_of_change,unwilling_to_change,struggles_with_change,avoids_changes,difficulty_accepting_change,change_is_hard,resists_new_things,uncomfortable_with_change,prefers_things_as_they_are,hesitant_to_try_new_things
delayed_speech,slow_to_talk,late_speech_development,speech_delay,talks_late,delayed_verbal_skills,slow_speaking,difficulty_starting_to_talk,late_to_speak,delayed_language_skills,slow_communication_development
hypersensitivity_to_sensory_stimuli,overly_sensitive_to_sounds,sensitive_to_lights,bothered_by_noises,touch_sensitivity,sensitive_to_textures,easily_overstimulated,strong_reactions_to_sensory_input,sensitive_to_sensations,sensory_overload,bothered_by_strong_smells
depressed_mood_most_of_the_way,feeling_sad_most_days,depressed_feelings_most_of_the_time,low_mood_almost_every_day,persistent_sadness,feeling_down_most_of_the_time,constant_depressed_mood,sad_most_days_of_week,mood_low_almost_daily,frequent_feelings_of_depression,ongoing_depressed_feelings
diminished_ability_to_think,trouble_thinking_clearly,poor_concentration,difficulty_making_decisions,slowed_thought_process,brain_fog,unclear_thinking,reduced_focus,mental_fuzziness,thinking_slowed_down,problems_processing_thoughts
retardation,slowed_movements,delayed_responses,reduced_activity_level,slow_body_movements,sluggish_behavior,decreased_motor_speed,lack_of_physical_energy,slowed_reactions,impaired_motor_function,physical_slowing
intense_fear_of_being_away_from_attachment_figures,fear_of_separation,separation_anxiety,distress_when_apart,panic_away_from_loved_ones,anxiety_when_separated,fear_of_being_left_alone,attachment_separation_fear,emotional_distress_apart,worry_about_separation,clinginess_due_to_separation
excessive_distress_when_anticipating_sepration,anticipatory_separation_anxiety,worry_about_being_apart,fear_before_separation,stress_about_leaving_loved_ones,panic_when_separation_nears,distress_about_departure,anxiety_about_being_left,upset_before_saying_goodbye,fear_of_going_away,nervousness_before_separation
persisitent_worry_about_losing_attachement_figures,constant_fear_of_losing_loved_ones,ongoing_worry_about_separation,anxiety_about_losing_close_people,fear_of_detachment_from_loved_ones,persistent_separation_anxiety,stress_about_losing_support_system,worry_about_being_abandoned,fear_of_being_left_alone,attachment_loss_anxiety,continuous_worry_about_being_left
reluctance,hesitation,unwillingness,resistance,avoidance,refusal,lack_of_interest,disinterest,holding_back,apprehension,being_reserved
nightmares_involving_sepration_themes,separation_nightmares,bad_dreams_about_being_left,dreams_of_abandonment,nightmares_about_separation,scary_dreams_of_losing_someone,distressing_dreams_about_detachment,fear_of_separation_in_dreams,being_left_alone_nightmares,dreams_about_being_abandoned,loss_themed_nightmares
physical_complaints_when_separated,physical_symptoms_during_separation,body_pain_when_away_from_loved_ones,nausea_when_separated,headaches_due_to_separation,stomach_issues_during_separation,separation_related_body_discomfort,dizziness_when_apart_from_attachment,physical_distress_when_left_alone,aches_and_pains_when_separated,somatic_issues_due_to_separation
difficulty_sleeping_without_attachment_figure_nearby,trouble_sleeping_without_loved_one,sleep_issues_when_alone,insomnia_without_attachment_figure,fear_of_sleeping_alone,unable_to_sleep_away_from_caregiver,sleep_disruption_due_to_separation,anxiety_at_bedtime_without_support,difficulty_resting_without_close_person,sleep_problems_when_separated,need_for_attachment_to_sleep
panic_symptoms_during_sepration,separation_induced_panic,anxiety_attacks_when_separated,panic_during_absence_of_loved_one,separation_related_panic_episodes,intense_anxiety_during_separation,panic_attacks_triggered_by_separation,distress_response_to_separation,panic_due_to_detachment,emotional_outbursts_when_apart,fear_response_when_separated
clingy_behavior_and_need_for_constant_reassuarance,excessive_need_for_reassurance,overly_dependent_behavior,constant_clinging_to_others,seeking_frequent_reassurance,needy_behavior,fear_of_being_left_alone,persistent_clinginess,always_looking_for_comfort,difficulty_being_independent,anxious_need_for_support
inability_to_recall_important_personal_information,memory_loss_of_personal_info,forgetting_important_details,difficulty_remembering_personal_data,lost_memory_of_self_info,impaired_personal_memory,trouble_recalling_personal_facts,failure_to_remember_key_info,amnesia_of_personal_details,gaps_in_personal_memory,forgetting_important_life_info
memory_loss_typically_related_to_trauma,trauma_related_amnesia,memory_gaps_due_to_trauma,forgetting_after_traumatic_event,trauma_induced_memory_loss,trauma_associated_amnesia,memory_blackouts_from_trauma,trauma_caused_memory_impairment,loss_of_memory_after_trauma,trauma_linked_memory_gaps,post_traumatic_memory_loss
sudden_onset_of_amnesia,abrupt_memory_loss,sudden_memory_forgetting,rapid_amnesia_start,quick_onset_memory_gap,unexpected_memory_loss,instant_memory_impairment,sudden_forgetting_episode,acute_amnesia,sudden_memory_blackout,fast_developing_amnesia
gaps_in_memory_for_long_periods_of_time,long_term_memory_gaps,extended_memory_loss,prolonged_memory_blanks,missing_memory_over_time,long_duration_memory_lapses,lengthy_memory_forgetting,sustained_memory_blackouts,memory_voids_for_long_periods,extended_amnesia,long_term_forgetting_episodes
trouble_remembering_daily_tasks,forgetting_daily_chores,difficulty_recalling_routines,trouble_with_everyday_tasks,memory_problems_in_daily_life,can't_remember_daily_activities,struggling_to_remember_tasks,daily_task_memory_issues,forgetting_routine_tasks,trouble_with_task_recall,memory_lapses_in_daily_routine
anxiety_related_to_memory_loss,worry_about_forgetting,fear_of_memory_problems,anxious_about_memory_issues,stress_due_to_memory_loss,nervous_about_forgetting_things,memory_loss_anxiety,concern_over_memory_gaps,anxiety_about_cognitive_decline,fear_of_forgetting,panic_about_memory_loss
